trial_number,value_objective,iou_class1,iou_class0,miou,f1_class1,f1_class0,precision_class1,recall_class1,precision_class0,recall_class0,accuracy,val_loss_best,params_json,trial_dir
0,-0.3638455125390308,0.3638455125390308,0.8075937461956934,0.5857196293673621,0.5335582501007322,0.8935566942465641,0.41231816929073384,0.7557963639233586,0.9578288070273349,0.8373677450776209,0.8266681900294004,0.48911169171333313,"{""act"": ""gelu"", ""preact"": true, ""up_mode"": ""nearest"", ""se_ratio"": 8, ""depth"": 4, ""stem_filters"": 64, ""dropout_rate"": 0.15000000000000002, ""class_weight_0"": 0.5753571532049581, ""class_weight_1"": 2.5175890952605293, ""gamma"": 2.197316968394073, ""lambda_focal"": 0.6560186404424365, ""lambda_dice"": 0.7027928764370635, ""lr"": 1.2551115172973821e-05}",./optuna_runs_resunet_clean/optuna_t0000
1,-0.37265197280531087,0.37265197280531087,0.8130991413416908,0.5928755570735008,0.5429664331355837,0.8969163602824262,0.42179256703196766,0.761826210203179,0.9590601194380438,0.8423359229726083,0.8317756248447162,1.140520453453064,"{""act"": ""gelu"", ""preact"": true, ""up_mode"": ""nearest"", ""se_ratio"": 8, ""depth"": 4, ""stem_filters"": 64, ""dropout_rate"": 0.35000000000000003, ""class_weight_0"": 0.40055750587160444, ""class_weight_1"": 2.474530640032882, ""gamma"": 1.041168988591605, ""lambda_focal"": 1.4699098521619942, ""lambda_dice"": 1.5821754330405482, ""lr"": 2.2948683681130543e-05}",./optuna_runs_resunet_clean/optuna_t0001
2,-0.35814887241932747,0.35814887241932747,0.7880475766661447,0.5730982245427361,0.5274073847020052,0.8814615303866549,0.39186584776019034,0.8062947336574682,0.9651999301979574,0.8110930674007053,0.8104636795529208,0.5561458468437195,"{""act"": ""gelu"", ""preact"": true, ""up_mode"": ""nearest"", ""se_ratio"": 8, ""depth"": 4, ""stem_filters"": 64, ""dropout_rate"": 0.05, ""class_weight_0"": 0.19170225492671691, ""class_weight_1"": 1.747636037327168, ""gamma"": 2.049512863264476, ""lambda_focal"": 0.9319450186421158, ""lambda_dice"": 0.8785978822574545, ""lr"": 0.00010952662748632558}",./optuna_runs_resunet_clean/optuna_t0002
3,-0.3520523919964275,0.3520523919964275,0.7831192224383027,0.5675858072173651,0.520767381619865,0.8783700075505179,0.38517761713250687,0.8036766894174944,0.9645453081004278,0.8063301153360478,0.8059820707610976,0.5415549874305725,"{""act"": ""gelu"", ""preact"": true, ""up_mode"": ""nearest"", ""se_ratio"": 8, ""depth"": 4, ""stem_filters"": 64, ""dropout_rate"": 0.05, ""class_weight_0"": 0.24607232426760908, ""class_weight_1"": 1.8594513179286452, ""gamma"": 1.9121399684340719, ""lambda_focal"": 1.2851759613930136, ""lambda_dice"": 0.7595759168058677, ""lr"": 7.475992999956501e-05}",./optuna_runs_resunet_clean/optuna_t0003
4,-0.3816470677386524,0.3816470677386524,0.8244490442375142,0.6030480559880833,0.5524523254166431,0.903778646864948,0.43889332414758714,0.7452876025801445,0.9570156739376997,0.8561524556725859,0.8416105344522968,0.9516700506210327,"{""act"": ""gelu"", ""preact"": true, ""up_mode"": ""nearest"", ""se_ratio"": 8, ""depth"": 4, ""stem_filters"": 64, ""dropout_rate"": 0.25, ""class_weight_0"": 0.12322520635999887, ""class_weight_1"": 2.293580733422589, ""gamma"": 1.341048247374583, ""lambda_focal"": 0.5650515929852795, ""lambda_dice"": 1.7335511984293333, ""lr"": 0.00043709904681305016}",./optuna_runs_resunet_clean/optuna_t0004
5,-0.36908601188701373,0.36908601188701373,0.8098290663584089,0.5894575391227113,0.5391714014787161,0.8949232625464252,0.41680672382091033,0.7632410803984985,0.9591276840927511,0.8387752827424874,0.8288676123737025,0.4320286512374878,"{""act"": ""gelu"", ""preact"": true, ""up_mode"": ""nearest"", ""se_ratio"": 8, ""depth"": 4, ""stem_filters"": 64, ""dropout_rate"": 0.35000000000000003, ""class_weight_0"": 0.2523068845866854, ""class_weight_1"": 1.3758098052114909, ""gamma"": 2.3684660530243136, ""lambda_focal"": 0.9401524937396013, ""lambda_dice"": 0.6586497052982125, ""lr"": 6.938901412739398e-05}",./optuna_runs_resunet_clean/optuna_t0005
9,-0.36922539650195696,0.36922539650195696,0.8158406860758483,0.5925330412889026,0.5393201111303361,0.8985817889552126,0.42365497247620276,0.7418610023627756,0.9560443398626054,0.8476351182788385,0.8337609388803003,0.493453711271286,"{""act"": ""gelu"", ""preact"": true, ""up_mode"": ""nearest"", ""se_ratio"": 8, ""depth"": 4, ""stem_filters"": 64, ""dropout_rate"": 0.15000000000000002, ""class_weight_0"": 0.5753571532049581, ""class_weight_1"": 2.5175890952605293, ""gamma"": 2.197316968394073, ""lambda_focal"": 0.6560186404424365, ""lambda_dice"": 0.7027928764370635, ""lr"": 1.2551115172973821e-05}",./optuna_runs_resunet_clean/optuna_t0009
18,-0.3035914272557587,0.3035914272557587,0.6977633532535698,0.5006773902546642,0.46577696187349266,0.8219795201921232,0.315736268788455,0.8875474158271441,0.976634540979042,0.7096092976796015,0.7329490850334033,0.3905315101146698,"{""act"": ""gelu"", ""preact"": true, ""up_mode"": ""nearest"", ""se_ratio"": 8, ""depth"": 4, ""stem_filters"": 64, ""dropout_rate"": 0.2, ""class_weight_0"": 0.18084330541961968, ""class_weight_1"": 2.753269179335855, ""gamma"": 1.61248851459961, ""lambda_focal"": 1.0753775389431148, ""lambda_dice"": 0.5061621555490161, ""lr"": 0.00015309454895107928}",./optuna_runs_resunet_clean/optuna_t0018
25,-0.31937100984720035,0.31937100984720035,0.7331863460806008,0.5262786779639006,0.484126159304027,0.8460559913117438,0.3387199122320074,0.8482751079855899,0.9703630773144165,0.749980699959712,0.7628737810222505,0.37378811836242676,"{""act"": ""gelu"", ""preact"": true, ""up_mode"": ""nearest"", ""se_ratio"": 8, ""depth"": 4, ""stem_filters"": 64, ""dropout_rate"": 0.2, ""class_weight_0"": 0.156575757223256, ""class_weight_1"": 2.0990987623743655, ""gamma"": 2.0488593451496557, ""lambda_focal"": 0.9267653053415785, ""lambda_dice"": 0.532078097226143, ""lr"": 4.758909879625754e-05}",./optuna_runs_resunet_clean/optuna_t0025
32,-0.3688094990731678,0.3688094990731678,0.8059736812105699,0.5873915901418688,0.5388762999130144,0.8925641492962558,0.4126639057425488,0.7763086932715976,0.9610470171474269,0.8331920479365836,0.8257307719847339,0.4099079966545105,"{""act"": ""gelu"", ""preact"": true, ""up_mode"": ""nearest"", ""se_ratio"": 8, ""depth"": 4, ""stem_filters"": 64, ""dropout_rate"": 0.35000000000000003, ""class_weight_0"": 0.2973571961277687, ""class_weight_1"": 1.4492753903878046, ""gamma"": 2.309287190085936, ""lambda_focal"": 0.9329290625024345, ""lambda_dice"": 0.6103327815709255, ""lr"": 9.85521605014768e-05}",./optuna_runs_resunet_clean/optuna_t0032
34,-0.3552553994149548,0.3552553994149548,0.7834134100792229,0.5693344047470889,0.5242633965056531,0.8785550289704529,0.38690815697000164,0.81282072994477,0.9661091313107888,0.8055515355757457,0.8065050212738792,0.4286443889141083,"{""act"": ""gelu"", ""preact"": true, ""up_mode"": ""nearest"", ""se_ratio"": 8, ""depth"": 4, ""stem_filters"": 64, ""dropout_rate"": 0.35000000000000003, ""class_weight_0"": 0.13951854270313688, ""class_weight_1"": 1.2135851747693276, ""gamma"": 2.4908085140478, ""lambda_focal"": 1.238811422320261, ""lambda_dice"": 0.6697646136570126, ""lr"": 0.0002831882911997907}",./optuna_runs_resunet_clean/optuna_t0034
53,-0.280702238650782,0.280702238650782,0.6701341351434514,0.4754181868971167,0.4383567548792628,0.8024913940051792,0.2930510518706735,0.8694751415281256,0.971971340737391,0.6833393984692524,0.7077544518999834,0.43127092719078064,"{""act"": ""gelu"", ""preact"": true, ""up_mode"": ""nearest"", ""se_ratio"": 8, ""depth"": 4, ""stem_filters"": 64, ""dropout_rate"": 0.05, ""class_weight_0"": 0.11185845337053614, ""class_weight_1"": 2.0952461533902156, ""gamma"": 1.1698483745374846, ""lambda_focal"": 1.097761950641742, ""lambda_dice"": 0.550342759949538, ""lr"": 0.00016462248163870408}",./optuna_runs_resunet_clean/optuna_t0053
55,-0.30175205970813324,0.30175205970813324,0.7749399031350709,0.5383459814216021,0.46360911428216095,0.8732012861576856,0.35283406727038513,0.6757735747299743,0.9432032422043037,0.8128721463556187,0.7948892007025729,0.40780654549598694,"{""act"": ""gelu"", ""preact"": true, ""up_mode"": ""nearest"", ""se_ratio"": 8, ""depth"": 4, ""stem_filters"": 64, ""dropout_rate"": 0.15000000000000002, ""class_weight_0"": 0.5413243459750919, ""class_weight_1"": 2.444231280440048, ""gamma"": 2.048280913281313, ""lambda_focal"": 0.5238541757796686, ""lambda_dice"": 0.5059219857215547, ""lr"": 1.9473149546018918e-05}",./optuna_runs_resunet_clean/optuna_t0055
